Symbol,Name,Price (Intraday),Change,% Change,Volume,Avg Vol (3 month),Market Cap(Billions),PE Ratio (TTM)
CRWD,"CrowdStrike Holdings, Inc.",105.9,4.53,4.47,4363000.0,5433000.0,24.822,
HBI,Hanesbrands Inc.,8.44,0.36,4.46,7376000.0,9740000.0,2.945,8.36
LAD,"Lithia Motors, Inc.",263.2,11.22,4.45,270143.0,386409.0,7.195,5.88
BBWI,"Bath & Body Works, Inc.",46.01,1.95,4.43,2960000.0,3793000.0,10.509,12.4
SRAD,Sportradar Group AG,12.55,0.53,4.41,114078.0,216454.0,3.727,69.72
UFPI,"UFP Industries, Inc.",93.55,3.95,4.41,290254.0,220806.0,5.766,8.43
SHOP,Shopify Inc.,49.27,2.08,4.41,21281000.0,21694000.0,62.676,379.0
WOLF,"Wolfspeed, Inc.",77.01,3.25,4.41,2141000.0,2662000.0,9.581,
LUNMF,Lundin Mining Corporation,7.58,0.32,4.41,62061.0,134090.0,5.861,11.15
TPH,"Tri Pointe Homes, Inc.",22.09,0.93,4.4,853435.0,703924.0,2.229,4.44
PEB,Pebblebrook Hotel Trust,16.4,0.69,4.39,2326000.0,1941000.0,2.16,
UBER,"Uber Technologies, Inc.",30.93,1.3,4.39,15251000.0,21567000.0,61.687,
CAJ,Canon Inc.,22.2,0.93,4.37,1197000.0,387078.0,24.056,14.61
AIT,"Applied Industrial Technologies, Inc.",143.21,5.98,4.36,306542.0,185450.0,5.528,18.38
PLAY,"Dave & Buster's Entertainment, Inc.",43.35,1.8,4.33,1658000.0,1257000.0,2.093,17.2
FRME,First Merchants Corporation,42.64,1.77,4.33,215471.0,159649.0,2.523,11.19
CSWI,"CSW Industrials, Inc.",135.21,5.61,4.33,65938.0,69240.0,2.093,26.62
RXO,"RXO, Inc.",18.32,0.76,4.33,896010.0,1743000.0,2.131,14.77
BROS,Dutch Bros Inc.,38.11,1.58,4.33,814390.0,1283000.0,6.404,
ENPH,"Enphase Energy, Inc.",221.38,9.16,4.32,4155999.9999999995,3776000.0,30.091,106.95
WSO,"Watsco, Inc.",287.37,11.87,4.31,298907.0,255159.0,11.364,21.19
WYNN,"Wynn Resorts, Limited",103.64,4.28,4.31,3130000.0,2918000.0,11.744,
AES,The AES Corporation,27.41,1.13,4.28,5608000.0,3999000.0,18.309,
SITE,"SiteOne Landscape Supply, Inc.",151.51,6.21,4.27,186207.0,259214.0,6.834,25.72
FELE,"Franklin Electric Co., Inc.",90.3,3.7,4.27,326786.0,147022.0,4.183,22.69
GNTX,Gentex Corporation,29.51,1.2,4.24,2024000.0,1034999.9999999999,6.923,22.02
TV,"Grupo Televisa, S.A.B.",6.15,0.25,4.24,5380000.0,3873000.0,3.51,6.54
PACW,PacWest Bancorp,27.66,1.12,4.22,1774000.0,1269000.0,3.325,6.62
VLY,Valley National Bancorp,11.88,0.48,4.21,3462000.0,2590000.0,6.016,10.42
SSB,SouthState Corporation,79.6,3.21,4.2,675330.0,356424.0,6.026,12.78
PLXS,Plexus Corp.,95.99,3.87,4.2,301751.0,167178.0,2.65,17.42
TGS,Transportadora de Gas del Sur S.A.,11.18,0.45,4.19,175786.0,206100.0,3.64,16.44
CURLF,"Curaleaf Holdings, Inc.",3.84,0.1543,4.19,675636.0,600249.0,2.764,
SPWR,SunPower Corporation,17.43,0.7,4.18,2996000.0,3759000.0,3.036,31.69
ELP,Companhia Paranaense de Energia - COPEL,7.49,0.3,4.17,409046.0,689478.0,20.497,62.42
CHWY,"Chewy, Inc.",45.06,1.8,4.16,3938000.0,3735000.0,19.076,
OCPNF,Olympus Corporation,18.81,0.75,4.15,474781.0,15200.0,24.305,25.08
FOXF,Fox Factory Holding Corp.,118.09,4.7,4.14,211547.0,217781.0,4.991,24.81
MTH,Meritage Homes Corporation,107.69,4.28,4.14,757885.0,315111.0,3.938,4.13
BFH,"Bread Financial Holdings, Inc.",41.03,1.63,4.14,784764.0,981640.0,2.047,4.9
NFE,New Fortress Energy Inc.,38.79,1.54,4.13,2226000.0,1702000.0,8.098,27.91
MMS,"Maximus, Inc.",74.85,2.97,4.13,631705.0,385818.0,4.549,22.75
COIN,"Coinbase Global, Inc.",58.48,2.32,4.13,14705000.0,16288000.0,15.316,5.98
GOL,Gol Linhas Aéreas Inteligentes S.A.,3.04,0.12,4.11,854846.0,1441000.0,4.989,
SSTK,"Shutterstock, Inc.",75.27,2.97,4.11,1276000.0,276913.0,2.696,29.75
STLA,Stellantis N.V.,15.72,0.62,4.11,5505000.0,5569000.0,50.514,3.06
WSM,"Williams-Sonoma, Inc.",134.94,5.32,4.1,1117000.0,1134000.0,8.983,8.03
ISEE,"IVERIC bio, Inc.",23.1,0.91,4.1,1678000.0,2523000.0,3.097,
WEGZY,WEG S.A.,7.62,0.3,4.1,115655.0,30804.0,32.674,42.33
VNO,Vornado Realty Trust,24.39,0.96,4.1,2461000.0,4520000.0,5.027,48.78
